COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,ENVIRONMENT.ALPHA_2_CODE,MEASURE,PERIOD,VALUE,STATUS
100,BUF,5,IN,Q_tlw,2016,0.7,
100,BUF,5,IN,Q_tlw,2015,0.6,
100,BUF,5,IN,Q_tlw,2014,0.1,
100,BUF,5,IN,Q_tlw,2013,0.5,
100,BUF,5,IN,Q_tlw,2011,0.05,
100,FBM,5,IN,Q_tlw,2019,11.063,
100,FBM,5,IN,Q_tlw,2018,34.121,
100,FBM,5,IN,Q_tlw,2017,27.139,
100,FBM,5,IN,Q_tlw,2016,9.2,
100,FBM,5,IN,Q_tlw,2015,11.075,
100,FBM,5,IN,Q_tlw,2014,9.73,
100,FBM,5,IN,Q_tlw,2013,8.86,
100,FBM,5,IN,Q_tlw,2012,7.35,
100,FBM,5,IN,Q_tlw,2011,7.301,
100,FBM,5,IN,Q_tlw,2010,7.491,
100,FBM,5,IN,Q_tlw,2009,0.785,
100,FBM,5,IN,Q_tlw,2008,0,N
100,FCP,5,IN,Q_tlw,2019,4848.809,
100,FCP,5,IN,Q_tlw,2018,4838.156,
100,FCP,5,IN,Q_tlw,2017,4273.13,
100,FCP,5,IN,Q_tlw,2016,3173.5,
100,FCP,5,IN,Q_tlw,2015,2674.171,
100,FCP,5,IN,Q_tlw,2014,2436.5,
100,FCP,5,IN,Q_tlw,2013,3600.56,
100,FCP,5,IN,Q_tlw,2012,1288.4,
100,FCP,5,IN,Q_tlw,2011,1389.6,
100,FCP,5,IN,Q_tlw,2010,1905.8,
100,FCP,5,IN,Q_tlw,2009,1926.7,
100,FCP,5,IN,Q_tlw,2008,1469,
100,FCP,5,IN,Q_tlw,2007,1180,
100,FCP,5,IN,Q_tlw,2006,842,
100,FCP,5,IN,Q_tlw,2005,926,
100,FCP,5,IN,Q_tlw,2004,626,
100,FCP,5,IN,Q_tlw,2003,785,
100,FCP,5,IN,Q_tlw,2002,539,
100,FCP,5,IN,Q_tlw,2001,544,
100,FCP,5,IN,Q_tlw,2000,1250,
100,FCP,5,IN,Q_tlw,1999,2850,
100,FCP,5,IN,Q_tlw,1998,1535,
100,FCP,5,IN,Q_tlw,1997,3700,
100,FCP,5,IN,Q_tlw,1996,3500,E
100,FCP,5,IN,Q_tlw,1995,3200,E
100,FCP,5,IN,Q_tlw,1994,4700,E
100,FCP,5,IN,Q_tlw,1993,6210,
100,FCP,5,IN,Q_tlw,1992,6324,
100,FCP,5,IN,Q_tlw,1991,6125,
100,FCP,5,IN,Q_tlw,1990,6189,
100,FCP,5,IN,Q_tlw,1989,9200,
100,FCP,5,IN,Q_tlw,1988,9527,
100,FCP,5,IN,Q_tlw,1987,10024,
100,FCP,5,IN,Q_tlw,1986,8621,
100,FCP,5,IN,Q_tlw,1985,7633,
100,FCP,5,IN,Q_tlw,1984,12584,
100,FCP,5,IN,Q_tlw,1983,11467,
100,FCP,5,IN,Q_tlw,1982,14253,
100,FCP,5,IN,Q_tlw,1981,12440,
100,FCP,5,IN,Q_tlw,1980,11274,
100,FCP,5,IN,Q_tlw,1979,9827,
100,FCP,5,IN,Q_tlw,1978,7566,
100,FCP,5,IN,Q_tlw,1977,7819,
100,FCP,5,IN,Q_tlw,1976,6002,
100,FCP,5,IN,Q_tlw,1975,5931,
100,FCP,5,IN,Q_tlw,1974,5600,
100,FCP,5,IN,Q_tlw,1973,4800,
100,FCP,5,IN,Q_tlw,1972,4500,
100,FCP,5,IN,Q_tlw,1971,5100,
100,FCP,5,IN,Q_tlw,1970,5400,
100,FCP,5,IN,Q_tlw,1969,5800,
100,FCP,5,IN,Q_tlw,1968,5900,
100,FCP,5,IN,Q_tlw,1967,6800,
100,FCP,5,IN,Q_tlw,1966,4400,
100,FCP,5,IN,Q_tlw,1965,5100,
100,FCP,5,IN,Q_tlw,1964,4100,
100,FCP,5,IN,Q_tlw,1963,800,
100,FCP,5,IN,Q_tlw,1962,1000,
100,FCP,5,IN,Q_tlw,1961,900,
100,FCP,5,IN,Q_tlw,1960,900,
100,FCP,5,IN,Q_tlw,1959,500,
100,FCP,5,IN,Q_tlw,1958,500,
100,FCP,5,IN,Q_tlw,1957,500,
100,FCP,5,IN,Q_tlw,1956,550,
100,FCP,5,IN,Q_tlw,1955,700,
100,FCP,5,IN,Q_tlw,1954,800,
100,FCP,5,IN,Q_tlw,1953,400,
100,FCP,5,IN,Q_tlw,1952,300,
100,FCP,5,IN,Q_tlw,1951,300,
100,FCP,5,IN,Q_tlw,1950,300,
100,FTE,5,IN,Q_tlw,2019,21.619,
100,FTE,5,IN,Q_tlw,2018,6.107,
100,FTE,5,IN,Q_tlw,2017,5.563,
100,FTE,5,IN,Q_tlw,2016,2.8,
100,FTE,5,IN,Q_tlw,2015,5.377,
100,FTE,5,IN,Q_tlw,2014,3.46,
100,FTE,5,IN,Q_tlw,2013,1.91,
100,FTE,5,IN,Q_tlw,2012,0.55,
100,FTE,5,IN,Q_tlw,2011,0,N
100,FTE,5,IN,Q_tlw,2010,0,N
100,FTE,5,IN,Q_tlw,2009,0.05,
100,FTE,5,IN,Q_tlw,2008,0,
100,FTE,5,IN,Q_tlw,2003,5,
100,FTE,5,IN,Q_tlw,2002,3,
100,FTE,5,IN,Q_tlw,2001,2,
100,FTE,5,IN,Q_tlw,2000,0,
100,FTE,5,IN,Q_tlw,1999,0,
100,FTE,5,IN,Q_tlw,1998,0,
100,FTE,5,IN,Q_tlw,1997,0,
100,FTE,5,IN,Q_tlw,1996,0,
100,FTE,5,IN,Q_tlw,1995,0,
100,FTE,5,IN,Q_tlw,1994,0,
100,FTE,5,IN,Q_tlw,1993,0,
100,FTE,5,IN,Q_tlw,1992,0,
100,FTE,5,IN,Q_tlw,1991,0,
100,FTE,5,IN,Q_tlw,1990,0,
100,FTE,5,IN,Q_tlw,1989,0,
100,FTE,5,IN,Q_tlw,1988,0,
100,FTE,5,IN,Q_tlw,1987,0,
100,FTE,5,IN,Q_tlw,1986,0,
100,FTE,5,IN,Q_tlw,1985,0,
100,FTE,5,IN,Q_tlw,1984,0,
100,FTE,5,IN,Q_tlw,1983,0,
100,FTE,5,IN,Q_tlw,1982,0,
100,FTE,5,IN,Q_tlw,1981,0,
100,FTE,5,IN,Q_tlw,1980,0,
100,FTE,5,IN,Q_tlw,1979,0,
100,FTE,5,IN,Q_tlw,1978,0,
100,FTE,5,IN,Q_tlw,1977,0,
100,FTE,5,IN,Q_tlw,1976,0,
100,FTE,5,IN,Q_tlw,1975,0,
100,FTE,5,IN,Q_tlw,1974,0,
100,FTE,5,IN,Q_tlw,1973,0,
100,FTE,5,IN,Q_tlw,1972,0,
100,FTE,5,IN,Q_tlw,1971,0,
100,FTE,5,IN,Q_tlw,1970,0,
100,ALR,5,IN,Q_tlw,2019,3.045,
100,ALR,5,IN,Q_tlw,2018,2.791,
100,ALR,5,IN,Q_tlw,2017,5.865,
100,ALR,5,IN,Q_tlw,2016,6.3,
100,ALR,5,IN,Q_tlw,2015,12.677,
100,ALR,5,IN,Q_tlw,2014,2.683,
100,ALR,5,IN,Q_tlw,2013,6.36,
100,ALR,5,IN,Q_tlw,2012,2.38,
100,ALR,5,IN,Q_tlw,2011,6.848,
100,ALR,5,IN,Q_tlw,2010,2.969,
100,ALR,5,IN,Q_tlw,2009,4.35,
100,ALR,5,IN,Q_tlw,2008,3,
100,PTB,5,IN,Q_tlw,2014,0.204,
100,PTB,5,IN,Q_tlw,2012,0.02,
100,PTB,5,IN,Q_tlw,2011,0.56,
100,PTB,5,IN,Q_tlw,2010,0.36,
100,HON,5,IN,Q_tlw,2019,0.6,
100,HON,5,IN,Q_tlw,2018,0.125,
100,HON,5,IN,Q_tlw,2017,0.13,
100,HON,5,IN,Q_tlw,2016,0.4,
100,HON,5,IN,Q_tlw,2015,0.01,
100,HON,5,IN,Q_tlw,2014,0.02,
100,HON,5,IN,Q_tlw,2013,2.12,
100,HON,5,IN,Q_tlw,2012,0.12,
100,FCC,5,IN,Q_tlw,2019,0.73,
100,FCC,5,IN,Q_tlw,2018,0.45,
100,FCC,5,IN,Q_tlw,2016,1.1,
100,FCC,5,IN,Q_tlw,2015,0.03,
100,FCC,5,IN,Q_tlw,2014,1.17,
100,FCC,5,IN,Q_tlw,2013,0.2,
100,FCC,5,IN,Q_tlw,2012,0.22,
100,FCC,5,IN,Q_tlw,2009,0.03,
100,FCC,5,IN,Q_tlw,2008,0,N
100,FCC,5,IN,Q_tlw,2007,19,
100,CGO,5,IN,Q_tlw,2019,275.704,
100,CGO,5,IN,Q_tlw,2018,223.744,
