"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","ENVIRONMENT.ALPHA_2_CODE","MEASURE","PERIOD","VALUE","STATUS"
"784","TIP","51","BW","V_USD_1000",1984,0,"N"
"784","SCN","51","MA","V_USD_1000",1984,32.417,""
"784","SCN","51","MA","V_USD_1000",1985,19.069,""
"784","TIP","51","BW","V_USD_1000",1985,0,"N"
"784","SCN","51","MA","V_USD_1000",1986,19.069,""
"784","EPT","51","MA","V_USD_1000",1987,0.708,""
"784","MUL","51","MA","V_USD_1000",1987,2.179,""
"784","OEA","04","IN","V_USD_1000",1987,1.09,""
"784","MUL","51","MA","V_USD_1000",1988,0,"N"
"784","OEA","04","IN","V_USD_1000",1988,0,"N"
"784","EPT","51","MA","V_USD_1000",1988,0,"N"
"004","FCY","04","IN","V_USD_1000",2005,1014.6,"E"
"004","TRR","04","IN","V_USD_1000",2005,211.375,"E"
"004","TRR","04","IN","V_USD_1000",2006,250.379,"E"
"004","FCY","04","IN","V_USD_1000",2006,1201.818,"E"
"004","TRR","04","IN","V_USD_1000",2007,750.576,"E"
"004","FCY","04","IN","V_USD_1000",2007,2702.074,"E"
"004","TRR","04","IN","V_USD_1000",2008,746.502,"E"
"004","FCY","04","IN","V_USD_1000",2008,2687.409,"E"
"004","TRR","04","IN","V_USD_1000",2009,746.943,"E"
"004","FCY","04","IN","V_USD_1000",2009,4481.656,"E"
"004","TRR","04","IN","V_USD_1000",2010,807.277,"E"
"004","FCY","04","IN","V_USD_1000",2010,6781.126,"E"
"004","FCY","04","IN","V_USD_1000",2011,8984.532,"E"
"004","TRR","04","IN","V_USD_1000",2011,267.397,"E"
"004","TRR","04","IN","V_USD_1000",2012,294.572,"E"
"004","FCY","04","IN","V_USD_1000",2012,10777.394,"E"
"004","TRR","04","IN","V_USD_1000",2013,316.013,"E"
"004","FCY","04","IN","V_USD_1000",2013,11730.396,"E"
"004","TRR","04","IN","V_USD_1000",2014,349.36,"E"
"004","FCY","04","IN","V_USD_1000",2014,13163.894,"E"
"004","FCY","04","IN","V_USD_1000",2015,14130.701,"E"
"004","TRR","04","IN","V_USD_1000",2015,367.987,"E"
"004","FCY","04","IN","V_USD_1000",2016,14381.263,"E"
"004","TRR","04","IN","V_USD_1000",2016,368.373,"E"
"004","TRR","04","IN","V_USD_1000",2017,367.502,"E"
"004","FCY","04","IN","V_USD_1000",2017,16346.474,"E"
"004","TRR","04","IN","V_USD_1000",2018,346.821,"E"
"004","FCY","04","IN","V_USD_1000",2018,17535.281,"E"
"004","FCY","04","IN","V_USD_1000",2019,18407.998,"E"
"004","TRR","04","IN","V_USD_1000",2019,321.593,"E"
"008","FRF","05","IN","V_USD_1000",1988,11.744,""
"008","MSM","37","MA","V_USD_1000",1988,1935.009,""
"008","SVC","05","IN","V_USD_1000",1988,322.427,""
"008","MUL","05","IN","V_USD_1000",1988,4.271,""
"008","FCC","05","IN","V_USD_1000",1988,1.779,""
"008","FCP","05","IN","V_USD_1000",1988,88.258,""
"008","TRR","05","IN","V_USD_1000",1988,653.929,""
"008","SVC","05","IN","V_USD_1000",1998,7.17,""
"008","KUP","37","BW","V_USD_1000",1998,71.701,""
"008","FCP","05","IN","V_USD_1000",1998,10.755,""
"008","TRR","05","IN","V_USD_1000",1998,24.963,""
"008","TRR","05","IN","V_USD_1000",1999,327.101,""
"008","SVC","05","IN","V_USD_1000",1999,2.181,""
"008","FCG","05","IN","V_USD_1000",1999,2.181,""
"008","MSM","37","MA","V_USD_1000",1999,145.378,""
"008","KUP","37","BW","V_USD_1000",1999,58.878,""
"008","FCP","05","IN","V_USD_1000",1999,4.361,""
"008","FCP","05","IN","V_USD_1000",2000,4.178,""
"008","FCG","05","IN","V_USD_1000",2000,2.089,""
"008","BIC","05","IN","V_USD_1000",2000,0,""
"008","MSM","37","MA","V_USD_1000",2000,139.28,""
"008","SVC","05","IN","V_USD_1000",2000,2.089,""
"008","KUP","37","BW","V_USD_1000",2000,16.714,""
"008","TRR","05","IN","V_USD_1000",2000,313.38,""
"008","FCG","05","IN","V_USD_1000",2001,4.181,""
"008","MSM","37","MA","V_USD_1000",2001,73.175,""
"008","TRR","05","IN","V_USD_1000",2001,47.041,""
"008","KUP","37","BW","V_USD_1000",2001,117.079,""
"008","BIC","05","IN","V_USD_1000",2001,0,""
"008","SVC","05","IN","V_USD_1000",2001,2.091,""
"008","FCP","05","IN","V_USD_1000",2001,6.272,""
"008","SBG","37","MA","V_USD_1000",2001,278.76,""
"008","MSM","37","MA","V_USD_1000",2002,149.839,""
"008","SBG","37","MA","V_USD_1000",2002,570.816,""
"008","FCP","05","IN","V_USD_1000",2002,8.562,""
"008","FCG","05","IN","V_USD_1000",2002,4.281,""
"008","BIC","05","IN","V_USD_1000",2002,0,""
"008","SVC","05","IN","V_USD_1000",2002,4.281,""
"008","TRR","05","IN","V_USD_1000",2002,1123.794,""
"008","MSM","37","MA","V_USD_1000",2003,707.78,""
"008","FCG","05","IN","V_USD_1000",2003,7.654,""
"008","TRR","05","IN","V_USD_1000",2003,1440.25,""
