Average Microplastic,Year,zone,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,CPC_Group_En,Name_En
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Atlantic cod
0.034999999999999996,1970,27,58.8,0,0,7.779659482615523,"Fish live, fresh or chilled for human consumption",Atlantic salmon
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Atlantic wolffish
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Bastard halibut
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Chars nei
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",European eel
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",European flounder
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",European seabass
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Gilthead seabream
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Mullets nei
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Pollack
0.056000000000000015,1970,27,53.75,0,0,7.779659482615519,"Fish live, fresh or chilled for human consumption",Rainbow trout
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Sea trout
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Senegalese sole
0.007,1970,27,0,0,0,7.779659482615521,"Fish live, fresh or chilled for human consumption",Spotted wolffish
0.020999999999999998,1970,27,0,0,0,7.779659482615522,"Fish live, fresh or chilled for human consumption",Turbot
0.035,1970,27,26360,0,0,7.779659482615523,"Molluscs live, fresh or chilled",Blue mussel
0.007,1970,27,0,0,0,7.779659482615521,"Molluscs live, fresh or chilled","Clams, etc. nei"
0.021,1970,27,7166.666666666667,0,0,7.779659482615522,"Molluscs live, fresh or chilled",European flat oyster
0.013999999999999999,1970,27,0,0,0,7.779659482615521,"Molluscs live, fresh or chilled",Grooved carpet shell
0.028,1970,27,10325.25,0,0,7.779659482615522,"Molluscs live, fresh or chilled",Pacific cupped oyster
0.014000000000000002,1970,27,75000,0,0,7.779659482615521,"Molluscs live, fresh or chilled",Sea mussels nei
0.007,1970,27,0,0,0,7.779659482615521,"Molluscs live, fresh or chilled",Solen razor clams nei
0.007,1970,27,0,0,0,7.779659482615521,"Other aquatic invertebrates, live, fresh or chilled",Aquatic invertebrates nei
0.007,1970,27,0,0,0,7.779659482615521,"Other aquatic invertebrates, live, fresh or chilled",Stony sea urchin
0.007,1970,27,0,0,0,7.779659482615521,Other aquatic plants and animals,Babberlocks
0.013999999999999999,1970,27,0,0,0,7.779659482615521,Other aquatic plants and animals,Sea belt
0.007,1970,27,0,0,0,7.779659482615521,Other aquatic plants and animals,Wakame
0.018,1970,77,0,0,0,7.685214484253238,"Crustaceans, live, fresh or chilled",Indo-Pacific swamp crab
0.054,1970,77,0,0,0,7.685214484253238,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
0.018,1970,77,0,0,0,7.685214484253238,"Fish live, fresh or chilled for human consumption",Yellowfin tuna
0.018,1970,77,0,0,0,7.685214484253238,"Molluscs live, fresh or chilled","Clams, etc. nei"
0.018,1970,77,0,0,0,7.685214484253238,"Molluscs live, fresh or chilled",Elongate giant clam
0.018,1970,77,0,0,0,7.685214484253238,"Molluscs live, fresh or chilled",Gastropods nei
0.018,1970,77,0,0,0,7.685214484253238,"Molluscs live, fresh or chilled",Pacific asaphis
0.018,1970,77,0,0,0,7.685214484253238,"Molluscs live, fresh or chilled",Red abalone
0.018,1970,77,0,0,0,7.685214484253238,"Molluscs live, fresh or chilled",Rough turban
0.018,1970,77,0,0,0,7.685214484253238,Other aquatic plants and animals,""
0.018,1970,77,0,0,0,7.685214484253238,Other aquatic plants and animals,Coarse seagrape
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Atlantic cod
,1971,27,,-1,-1,,"Fish live, fresh or chilled for human consumption",Atlantic salmon
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Atlantic wolffish
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Bastard halibut
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Chars nei
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",European eel
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",European flounder
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",European seabass
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Gilthead seabream
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Mullets nei
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Pollack
,1971,27,,-1,-1,,"Fish live, fresh or chilled for human consumption",Rainbow trout
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Sea trout
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Senegalese sole
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Spotted wolffish
,1971,27,,-1,0,,"Fish live, fresh or chilled for human consumption",Turbot
,1971,27,,-1,-1,,"Molluscs live, fresh or chilled",Blue mussel
,1971,27,,-1,0,,"Molluscs live, fresh or chilled","Clams, etc. nei"
,1971,27,,-1,-1,,"Molluscs live, fresh or chilled",European flat oyster
,1971,27,,-1,0,,"Molluscs live, fresh or chilled",Grooved carpet shell
,1971,27,,-1,-1,,"Molluscs live, fresh or chilled",Pacific cupped oyster
,1971,27,,-1,-1,,"Molluscs live, fresh or chilled",Sea mussels nei
,1971,27,,-1,0,,"Molluscs live, fresh or chilled",Solen razor clams nei
,1971,27,,-1,0,,"Other aquatic invertebrates, live, fresh or chilled",Aquatic invertebrates nei
,1971,27,,-1,0,,"Other aquatic invertebrates, live, fresh or chilled",Stony sea urchin
,1971,27,,-1,0,,Other aquatic plants and animals,Babberlocks
,1971,27,,-1,0,,Other aquatic plants and animals,Sea belt
,1971,27,,-1,0,,Other aquatic plants and animals,Wakame
,1971,77,,-1,0,,"Crustaceans, live, fresh or chilled",Indo-Pacific swamp crab
,1971,77,,-1,0,,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
,1971,77,,-1,0,,"Fish live, fresh or chilled for human consumption",Yellowfin tuna
,1971,77,,-1,0,,"Molluscs live, fresh or chilled","Clams, etc. nei"
,1971,77,,-1,0,,"Molluscs live, fresh or chilled",Elongate giant clam
,1971,77,,-1,0,,"Molluscs live, fresh or chilled",Gastropods nei
,1971,77,,-1,0,,"Molluscs live, fresh or chilled",Pacific asaphis
,1971,77,,-1,0,,"Molluscs live, fresh or chilled",Red abalone
,1971,77,,-1,0,,"Molluscs live, fresh or chilled",Rough turban
,1971,77,,-1,0,,Other aquatic plants and animals,""
,1971,77,,-1,0,,Other aquatic plants and animals,Coarse seagrape
0.007194,1986,21,0,0,0,9.10653744235909,"Crustaceans, live, fresh or chilled",Blue crab
0.007194,1986,21,0,0,0,9.10653744235909,"Fish live, fresh or chilled for human consumption",Atlantic cod
0.021582,1986,21,457.3333333333333,0,0,9.106537442359091,"Fish live, fresh or chilled for human consumption",Atlantic salmon
0.007194,1986,21,2300,0,0,9.106537442359091,"Molluscs live, fresh or chilled",American cupped oyster
0.014388,1986,21,2311,0,0,9.106537442359091,"Molluscs live, fresh or chilled",Blue mussel
0.007194,1986,21,0,0,0,9.10653744235909,"Molluscs live, fresh or chilled",Butter clam
0.014388,1986,21,0,0,0,9.10653744235909,"Molluscs live, fresh or chilled",Marine molluscs nei
0.007194,1986,21,5134,0,0,9.106537442359091,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
0.007194,1986,21,192,0,0,9.106537442359091,"Molluscs live, fresh or chilled",Sand gaper
0.014388,1986,21,0,0,0,9.10653744235909,"Molluscs live, fresh or chilled",Scallops nei
0.429663,1986,31,0,0,0,5.739089921604373,"Crustaceans, live, fresh or chilled",Blue shrimp
0.429663,1986,31,0,0,0,5.739089921604373,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
0.429663,1986,31,0,0,0,5.739089921604375,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
0.429663,1986,31,0,0,0,5.739089921604373,"Crustaceans, live, fresh or chilled",Northern white shrimp
0.429663,1986,31,0,0,0,5.739089921604373,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
0.8593260000000003,1986,31,125.5,0,0,5.7390899216043705,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
0.429663,1986,31,0,0,0,5.739089921604373,"Crustaceans, live, fresh or chilled",Southern white shrimp
1.718652,1986,31,225,0,0,5.739089921604378,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
0.8593260000000003,1986,31,0,0,0,5.739089921604372,"Fish live, fresh or chilled for human consumption",Cobia
0.429663,1986,31,0,0,0,5.739089921604373,"Fish live, fresh or chilled for human consumption",Common snook
0.429663,1986,31,0,0,0,5.739089921604373,"Fish live, fresh or chilled for human consumption",Florida pompano
0.8593260000000003,1986,31,1.5,0,0,5.739089921604372,"Fish live, fresh or chilled for human consumption",Marine fishes nei
0.429663,1986,31,0,0,0,5.739089921604373,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
0.429663,1986,31,0,0,0,5.739089921604373,"Fish live, fresh or chilled for human consumption",Tilapias nei
0.8593260000000003,1986,31,44634,0,0,5.739089921604372,"Molluscs live, fresh or chilled",American cupped oyster
0.8593260000000003,1986,31,0,0,0,5.739089921604375,"Molluscs live, fresh or chilled","Clams, etc. nei"
0.429663,1986,31,0,0,0,5.739089921604373,"Molluscs live, fresh or chilled",Cupped oysters nei
0.8593260000000003,1986,31,550.5,0,0,5.7390899216043705,"Molluscs live, fresh or chilled",Mangrove cupped oyster
0.429663,1986,31,50,0,0,5.739089921604375,"Molluscs live, fresh or chilled",South American rock mussel
0.429663,1986,31,100,0,0,5.739089921604375,Other aquatic plants and animals,Gracilaria seaweeds
0.0878015,1987,21,0,11.204823463997776,0,9.50578200965502,"Crustaceans, live, fresh or chilled",Blue crab
0.0878015,1987,21,200,11.204823463997776,0,9.505782009655018,"Fish live, fresh or chilled for human consumption",Atlantic cod
0.26340449999999993,1987,21,959,11.204823463997773,1.0969387755102042,9.505782009655022,"Fish live, fresh or chilled for human consumption",Atlantic salmon
0.0878015,1987,21,2312,11.204823463997776,0.0052173913043478265,9.505782009655018,"Molluscs live, fresh or chilled",American cupped oyster
0.175603,1987,21,2201.5,11.204823463997776,-0.04738208567719602,9.505782009655022,"Molluscs live, fresh or chilled",Blue mussel
0.0878015,1987,21,0,11.204823463997776,0,9.50578200965502,"Molluscs live, fresh or chilled",Butter clam
0.175603,1987,21,0,11.204823463997776,0,9.505782009655022,"Molluscs live, fresh or chilled",Marine molluscs nei
0.0878015,1987,21,4500,11.204823463997776,-0.123490455784963,9.505782009655018,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
0.0878015,1987,21,87,11.204823463997776,-0.546875,9.505782009655018,"Molluscs live, fresh or chilled",Sand gaper
0.175603,1987,21,0,11.204823463997776,0,9.505782009655016,"Molluscs live, fresh or chilled",Scallops nei
0.744354999999999,1987,31,0,0.7324158701121553,0,3.577850176632195,"Crustaceans, live, fresh or chilled",Blue shrimp
0.7443549999999994,1987,31,0,0.7324158701121563,0,3.577850176632192,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
0.7443549999999995,1987,31,0,0.7324158701121566,0,3.5778501766321953,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
0.7443549999999994,1987,31,0,0.7324158701121563,0,3.577850176632192,"Crustaceans, live, fresh or chilled",Northern white shrimp
0.744354999999999,1987,31,0,0.7324158701121553,0,3.577850176632195,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
1.488709999999998,1987,31,118,0.7324158701121548,-0.05976095617529881,3.5778501766321975,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
0.744354999999999,1987,31,346,0.7324158701121553,0,3.5778501766321975,"Crustaceans, live, fresh or chilled",Southern white shrimp
2.977419999999996,1987,31,439.25,0.7324158701121553,0.9522222222222222,3.577850176632201,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1.4887099999999989,1987,31,0,0.7324158701121558,0,3.577850176632196,"Fish live, fresh or chilled for human consumption",Cobia
0.744354999999999,1987,31,0,0.7324158701121553,0,3.577850176632195,"Fish live, fresh or chilled for human consumption",Common snook
0.7443549999999995,1987,31,0,0.7324158701121566,0,3.577850176632193,"Fish live, fresh or chilled for human consumption",Florida pompano
2.233064999999997,1987,31,3,1.5986238051682324,1,3.5778501766321993,"Fish live, fresh or chilled for human consumption",Marine fishes nei
0.744354999999999,1987,31,0,0.7324158701121553,0,3.577850176632195,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
0.744354999999999,1987,31,1,0,0,3.5778501766321975,"Fish live, fresh or chilled for human consumption",Red drum
0.744354999999999,1987,31,0,0.7324158701121553,0,3.577850176632195,"Fish live, fresh or chilled for human consumption",Tilapias nei
1.4887099999999984,1987,31,40446.5,0.7324158701121554,-0.0938186136129408,3.577850176632196,"Molluscs live, fresh or chilled",American cupped oyster
1.4887099999999978,1987,31,0,0.7324158701121546,0,3.577850176632197,"Molluscs live, fresh or chilled","Clams, etc. nei"
0.744354999999999,1987,31,0,0.7324158701121553,0,3.577850176632195,"Molluscs live, fresh or chilled",Cupped oysters nei
1.488709999999998,1987,31,650.5,0.7324158701121548,0.18165304268846502,3.5778501766321975,"Molluscs live, fresh or chilled",Mangrove cupped oyster
0.744354999999999,1987,31,360,0,0,3.5778501766321975,"Molluscs live, fresh or chilled",Queen conch
,1987,31,,-1,-1,,"Molluscs live, fresh or chilled",South American rock mussel
0.744354999999999,1987,31,21,0,0,3.5778501766321975,"Molluscs live, fresh or chilled",Stromboid conchs nei
0.744354999999999,1987,31,100,0.7324158701121553,0,3.5778501766321975,Other aquatic plants and animals,Gracilaria seaweeds
,1988,21,,-1,0,,"Crustaceans, live, fresh or chilled",Blue crab
,1988,21,,-1,-1,,"Fish live, fresh or chilled for human consumption",Atlantic cod
,1988,21,,-1,-1,,"Fish live, fresh or chilled for human consumption",Atlantic salmon
,1988,21,,-1,-1,,"Molluscs live, fresh or chilled",American cupped oyster
,1988,21,,-1,-1,,"Molluscs live, fresh or chilled",Blue mussel
,1988,21,,-1,0,,"Molluscs live, fresh or chilled",Butter clam
,1988,21,,-1,0,,"Molluscs live, fresh or chilled",Marine molluscs nei
,1988,21,,-1,-1,,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
,1988,21,,-1,-1,,"Molluscs live, fresh or chilled",Sand gaper
,1988,21,,-1,0,,"Molluscs live, fresh or chilled",Scallops nei
,1988,31,,-1,0,,"Crustaceans, live, fresh or chilled",Blue shrimp
,1988,31,,-1,0,,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
,1988,31,,-1,0,,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
,1988,31,,-1,0,,"Crustaceans, live, fresh or chilled",Northern white shrimp
,1988,31,,-1,0,,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
,1988,31,,-1,-1,,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
,1988,31,,-1,-1,,"Crustaceans, live, fresh or chilled",Southern white shrimp
,1988,31,,-1,-1,,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
,1988,31,,-1,0,,"Fish live, fresh or chilled for human consumption",Cobia
,1988,31,,-1,0,,"Fish live, fresh or chilled for human consumption",Common snook
,1988,31,,-1,0,,"Fish live, fresh or chilled for human consumption",Florida pompano
,1988,31,,-1,-1,,"Fish live, fresh or chilled for human consumption",Marine fishes nei
,1988,31,,-1,0,,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
,1988,31,,-1,-1,,"Fish live, fresh or chilled for human consumption",Red drum
,1988,31,,-1,0,,"Fish live, fresh or chilled for human consumption",Tilapias nei
,1988,31,,-1,-1,,"Molluscs live, fresh or chilled",American cupped oyster
