Label,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Bulgaria, males",172.6,173.1,175.3,185.4,180.3,221.8,215.2,216.5,214.7,221.0,226.1,233.4,237.3,239.7,245.5,254.1,251.8,243.2,250.1,260.3,259.5
"Belarus, males",257.5,264.4,264.0,272.3,272.4,274.9,269.4,264.2,266.2,261.7,265.0,279.5,272.4,275.8,285.6,291.8,295.2,303.7,308.7,306.6,-
"Canada, males*",339.6,331.1,316.1,317.5,319.4,322.5,332.7,331.7,338.1,324.3,319.6,322.7,323.1,326.9,329.9,320.7,317.2,309.1,313.6,297.6,-
"Chile, males*",-,-,-,-,-,212.4,240.5,231.9,227.8,220.6,237.0,228.9,219.5,242.0,214.7,224.3,215.5,196.2,216.0,193.7,-
"China, males*",239.7,244.8,237.3,237.0,237.5,239.1,241.6,243.1,242.8,242.5,223.5,227.9,219.1,219.8,214.3,217.5,217.0,214.1,210.0,212.7,-
"Colombia, males*",173.8,202.4,218.4,216.9,211.3,211.6,227.0,225.2,235.8,225.4,224.6,219.0,226.7,234.2,222.8,205.0,206.7,207.9,199.1,198.4,-
"Costa Rica, males",140.2,152.3,169.5,173.3,166.1,178.0,188.6,176.2,185.6,179.5,195.0,188.4,183.1,172.5,177.7,179.5,179.0,179.6,159.3,-,-
"Croatia, males",283.2,273.4,296.9,287.3,292.0,275.8,368.1,402.0,325.5,329.0,322.5,315.0,333.2,319.9,321.2,319.0,332.2,321.3,323.2,316.6,-
"Czechia, males",316.0,320.7,320.5,338.4,332.4,331.3,326.9,324.1,324.2,335.1,339.7,343.5,350.8,342.1,342.4,340.7,347.4,352.9,341.8,334.7,322.2
"Denmark, males",284.7,289.5,283.0,285.0,290.0,297.1,296.3,301.2,297.3,302.8,308.5,327.9,335.4,342.5,349.9,359.5,367.1,352.3,360.1,361.9,352.3
"Ecuador, males*",148.9,153.3,143.6,145.4,161.9,145.3,129.7,144.7,160.8,165.9,162.2,166.1,193.0,184.9,202.1,188.6,171.0,192.9,204.9,202.5,-
"Estonia, males",296.9,283.4,302.2,307.4,301.1,304.7,297.9,291.4,292.5,294.7,306.0,328.1,304.8,349.2,344.1,341.9,344.4,366.4,371.8,360.2,-
"France, males*",337.7,331.0,336.0,341.3,338.6,340.6,344.2,353.6,355.4,367.5,382.0,401.1,398.2,388.1,392.0,378.2,366.8,360.0,358.2,343.0,-
"Germany, males*",-,-,-,-,-,338.7,337.6,328.8,323.4,344.0,334.6,335.0,334.4,335.4,333.5,337.7,336.2,327.8,330.5,309.1,-
"Iceland, males",241.4,285.7,292.7,296.8,316.1,296.1,290.0,293.9,317.7,280.4,315.3,340.4,294.8,347.2,323.8,333.0,323.2,295.9,300.1,301.6,295.5
