Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,Name_En
0.007,1970,0,0,0,7.779659482615521,Aquatic invertebrates nei
0.007,1970,0,0,0,7.779659482615521,Atlantic cod
0.034999999999999996,1970,58.8,0,0,7.779659482615523,Atlantic salmon
0.007,1970,0,0,0,7.779659482615521,Atlantic wolffish
0.007,1970,0,0,0,7.779659482615521,Babberlocks
0.007,1970,0,0,0,7.779659482615521,Bastard halibut
0.035,1970,26360,0,0,7.779659482615523,Blue mussel
0.007,1970,0,0,0,7.779659482615521,Chars nei
0.024999999999999994,1970,0,0,0,7.741881483270608,"Clams, etc. nei"
0.018,1970,0,0,0,7.685214484253238,Coarse seagrape
0.018,1970,0,0,0,7.685214484253238,Elongate giant clam
0.007,1970,0,0,0,7.779659482615521,European eel
0.021,1970,7166.666666666667,0,0,7.779659482615522,European flat oyster
0.007,1970,0,0,0,7.779659482615521,European flounder
0.007,1970,0,0,0,7.779659482615521,European seabass
0.018,1970,0,0,0,7.685214484253238,Gastropods nei
0.007,1970,0,0,0,7.779659482615521,Gilthead seabream
0.013999999999999999,1970,0,0,0,7.779659482615521,Grooved carpet shell
0.018,1970,0,0,0,7.685214484253238,Indo-Pacific swamp crab
0.007,1970,0,0,0,7.779659482615521,Mullets nei
0.018,1970,0,0,0,7.685214484253238,Pacific asaphis
0.028,1970,10325.25,0,0,7.779659482615522,Pacific cupped oyster
0.007,1970,0,0,0,7.779659482615521,Pollack
0.056000000000000015,1970,53.75,0,0,7.779659482615519,Rainbow trout
0.018,1970,0,0,0,7.685214484253238,Red abalone
0.018,1970,0,0,0,7.685214484253238,Rough turban
0.013999999999999999,1970,0,0,0,7.779659482615521,Sea belt
0.014000000000000002,1970,75000,0,0,7.779659482615521,Sea mussels nei
0.007,1970,0,0,0,7.779659482615521,Sea trout
0.007,1970,0,0,0,7.779659482615521,Senegalese sole
0.007,1970,0,0,0,7.779659482615521,Solen razor clams nei
0.007,1970,0,0,0,7.779659482615521,Spotted wolffish
0.007,1970,0,0,0,7.779659482615521,Stony sea urchin
0.020999999999999998,1970,0,0,0,7.779659482615522,Turbot
0.007,1970,0,0,0,7.779659482615521,Wakame
0.054,1970,0,0,0,7.685214484253238,Whiteleg shrimp
0.018,1970,0,0,0,7.685214484253238,Yellowfin tuna
,1971,,-1,0,,Aquatic invertebrates nei
,1971,,-1,0,,Atlantic cod
,1971,,-1,-1,,Atlantic salmon
,1971,,-1,0,,Atlantic wolffish
,1971,,-1,0,,Babberlocks
,1971,,-1,0,,Bastard halibut
,1971,,-1,-1,,Blue mussel
,1971,,-1,0,,Chars nei
,1971,,-1,0,,"Clams, etc. nei"
,1971,,-1,0,,Coarse seagrape
,1971,,-1,0,,Elongate giant clam
,1971,,-1,0,,European eel
,1971,,-1,-1,,European flat oyster
,1971,,-1,0,,European flounder
,1971,,-1,0,,European seabass
,1971,,-1,0,,Gastropods nei
,1971,,-1,0,,Gilthead seabream
,1971,,-1,0,,Grooved carpet shell
,1971,,-1,0,,Indo-Pacific swamp crab
,1971,,-1,0,,Mullets nei
,1971,,-1,0,,Pacific asaphis
,1971,,-1,-1,,Pacific cupped oyster
,1971,,-1,0,,Pollack
,1971,,-1,-1,,Rainbow trout
,1971,,-1,0,,Red abalone
,1971,,-1,0,,Rough turban
,1971,,-1,0,,Sea belt
,1971,,-1,-1,,Sea mussels nei
,1971,,-1,0,,Sea trout
,1971,,-1,0,,Senegalese sole
,1971,,-1,0,,Solen razor clams nei
,1971,,-1,0,,Spotted wolffish
,1971,,-1,0,,Stony sea urchin
,1971,,-1,0,,Turbot
,1971,,-1,0,,Wakame
,1971,,-1,0,,Whiteleg shrimp
,1971,,-1,0,,Yellowfin tuna
