Latitude,Longitude,Average of MicroPlastic,Sample_Date
9.95853,-84.89108,0.009,1970-01-01 00:00:00
63.22161,-41.40596,0.003,1970-01-01 00:00:00
63.47081,-41.93471,0,1970-01-01 00:00:00
65.61092,-37.64574,0.001,1970-01-01 00:00:00
40.62,-70.07,0,1986-10-15 00:00:00
39.67,-69.43,0,1986-10-16 00:00:00
36.45,-64.88,0.003597,1986-10-18 00:00:00
35.48,-63.7,0.003597,1986-10-19 00:00:00
30.97,-60.68,0.017989,1986-10-21 00:00:00
31.83,-61.32,0.013492,1986-10-21 00:00:00
29.52,-60.5,0.019444,1986-10-22 00:00:00
30.4,-60.58,0.008099,1986-10-22 00:00:00
26.87,-59,0,1986-10-23 00:00:00
26.03,-58.63,0.044444,1986-10-24 00:00:00
23.37,-57.27,0.025795,1986-10-25 00:00:00
20.72,-56.75,0,1986-10-27 00:00:00
16.83,-57.93,0,1986-10-28 00:00:00
15.02,-57.67,0,1986-10-29 00:00:00
16.03,-57.87,0,1986-10-29 00:00:00
14.02,-58.95,0,1986-10-30 00:00:00
11.28,-61,0,1986-10-31 00:00:00
11.83,-60.83,0,1986-10-31 00:00:00
12.13,-61.78,0,1986-11-05 00:00:00
13.33,-61.25,0,1986-11-06 00:00:00
26.42,-78.62,0.00108,1987-02-07 00:00:00
25.68,-77.39,0.0004,1987-02-08 00:00:00
25.47,-75.28,0.001012,1987-02-09 00:00:00
22.45,-73.68,0.00108,1987-02-15 00:00:00
21,-73.87,0.00054,1987-02-16 00:00:00
21.67,-73.56,0,1987-02-16 00:00:00
20.72,-74.12,0.001157,1987-02-17 00:00:00
20.85,-73.82,0,1987-02-17 00:00:00
19.54,-73.88,0.0036,1987-02-18 00:00:00
19.99,-73.6,0,1987-02-18 00:00:00
18.69,-75.06,0.00135,1987-02-19 00:00:00
18.93,-74.64,0,1987-02-19 00:00:00
18.34,-75.85,0,1987-02-20 00:00:00
18.25,-76.13,0.00378,1987-02-23 00:00:00
17.2,-77.03,0.000864,1987-02-25 00:00:00
16.24,-77.15,0.000288,1987-02-26 00:00:00
16.35,-79.47,0,1987-02-27 00:00:00
16.27,-80.22,0,1987-02-28 00:00:00
16.77,-81.33,0,1987-02-28 00:00:00
16.51,-85.08,0.00144,1987-03-01 00:00:00
16.72,-83.78,0.00108,1987-03-01 00:00:00
16.25,-85.87,0,1987-03-02 00:00:00
16.53,-85.33,0,1987-03-02 00:00:00
26.46,-79.46,0.000309,1987-04-07 00:00:00
26.27,-78.23,0.003857,1987-04-08 00:00:00
25.42,-76.03,0.000982,1987-04-10 00:00:00
25.65,-76.08,0.00216,1987-04-10 00:00:00
25.7,-76.18,0.000356,1987-04-14 00:00:00
25.92,-75.6,0.002097,1987-04-14 00:00:00
27.57,-74.38,0.0040625,1987-04-15 00:00:00
28.95,-72.17,0.004909,1987-04-17 00:00:00
29.12,-71.35,0.006479,1987-04-18 00:00:00
29.72,-70.32,0.0018,1987-04-18 00:00:00
30.67,-69.27,0.00432,1987-04-18 00:00:00
30.67,-69.27,0.010799,1987-04-19 00:00:00
31.82,-66.15,0.002348,1987-04-21 00:00:00
32.71,-64.76,0.11474100000000001,1987-04-25 00:00:00
33.54,-65.63,0.0095695,1987-04-26 00:00:00
34.68,-66.58,0.00216,1987-04-28 00:00:00
39.97,-70.55,0.00324,1987-05-25 00:00:00
40.52,-70.58,0,1987-05-25 00:00:00
38.12,-69.68,0.00108,1987-05-26 00:00:00
38.9,-69.97,0.0054,1987-05-26 00:00:00
36.5,-69.42,0.029428,1987-05-27 00:00:00
37.37,-69.38,0.00081,1987-05-27 00:00:00
35.48,-68.73,0.0027,1987-05-28 00:00:00
37.4,-69.43,0.011879,1987-05-28 00:00:00
35.52,-66.75,0.00324,1987-05-29 00:00:00
36.08,-67.67,0.006479,1987-05-29 00:00:00
34.9,-64.77,0.036254,1987-05-30 00:00:00
33.9,-64.45,0.051295999999999994,1987-05-31 00:00:00
34.37,-64.63,0.0097075,1987-05-31 00:00:00
34.65,-64.98,0.020518,1987-05-31 00:00:00
32.38,-64.17,0.034197,1987-06-01 00:00:00
32.83,-64.85,0.002925,1987-06-06 00:00:00
33.77,-65.42,0.014849000000000001,1987-06-06 00:00:00
33.87,-65.73,0.000913,1987-06-07 00:00:00
32.9,-64.68,0.013229000000000001,1987-06-09 00:00:00
33.38,-64.87,0.009359,1987-06-09 00:00:00
35.62,-65.95,0.0099355,1987-06-11 00:00:00
36.37,-66.48,0.007199,1987-06-12 00:00:00
40.57,-66.53,0.0027,1987-06-14 00:00:00
41.45,-65.98,0.00054,1987-06-14 00:00:00
42.88,-65.47,0,1987-06-15 00:00:00
43.55,-64.88,0.00243,1987-06-16 00:00:00
42.98,-66.45,0.000741,1987-06-23 00:00:00
16.43,-63.6,0,1987-12-04 00:00:00
15.9,-62.75,0.0021085,1987-12-05 00:00:00
16.43,-63.6,0.000432,1987-12-05 00:00:00
14.33,-62.45,0.039874,1987-12-06 00:00:00
14.37,-62.48,0.016919,1987-12-06 00:00:00
15.26,-62.65,0.000789,1987-12-06 00:00:00
13.95,-61.88,0.00054,1987-12-07 00:00:00
15.13,-62.03,0.0047395,1987-12-07 00:00:00
13.27,-61.47,0,1987-12-08 00:00:00
12.13,-64.27,0,1987-12-12 00:00:00
12.39,-63.05,0.0018900000000000002,1987-12-12 00:00:00
12.5,-62.03,0,1987-12-12 00:00:00
12.13,-64.27,0,1987-12-13 00:00:00
12.43,-65.48,0.00081,1987-12-13 00:00:00
12.27,-67.5,0,1987-12-14 00:00:00
12.45,-66.55,0,1987-12-14 00:00:00
12.47,-66.52,0,1987-12-14 00:00:00
11.94,-68.26,0,1987-12-15 00:00:00
12.97,-70.23,0.00054,1987-12-18 00:00:00
13.35,-71.32,0.0032395,1987-12-19 00:00:00
13.8,-72.48,0.003,1987-12-19 00:00:00
15.25,-75.83,0.00162,1987-12-20 00:00:00
15.82,-76.78,0.00081,1987-12-21 00:00:00
16.44,-78.05,0.00216,1987-12-21 00:00:00
16.53,-79.06,0.00027,1987-12-22 00:00:00
16.4,-82.63,0.00027,1987-12-27 00:00:00
16.74,-83.72,0.00135,1987-12-27 00:00:00
16.23,-86.26,0,1987-12-28 00:00:00
16.33,-85.63,0.001166,1987-12-28 00:00:00
16.36,-84.47,0.00054,1987-12-28 00:00:00
16.17,-86.29,0,1987-12-29 00:00:00
16.22,-86.29,0,1987-12-29 00:00:00
39.72,-68.86,0.000675,1989-05-25 00:00:00
