Year,Average,MP_Change,MicroPlastic_Amt,Percentage_Change,plastic_zone.zone,CPC_Group_En,Name_En
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Atlantic cod
1970,58.8,0,20,0,27,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Atlantic wolffish
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Bastard halibut
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Chars nei
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",European eel
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",European flounder
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",European seabass
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Gilthead seabream
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Mullets nei
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Pollack
1970,53.75,0,32,0,27,"Fish live, fresh or chilled for human consumption",Rainbow trout
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Sea trout
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Senegalese sole
1970,0,0,4,0,27,"Fish live, fresh or chilled for human consumption",Spotted wolffish
1970,0,0,12,0,27,"Fish live, fresh or chilled for human consumption",Turbot
1970,26360,0,20,0,27,"Molluscs live, fresh or chilled",Blue mussel
1970,0,0,4,0,27,"Molluscs live, fresh or chilled","Clams, etc. nei"
1970,7166.666666666667,0,12,0,27,"Molluscs live, fresh or chilled",European flat oyster
1970,0,0,8,0,27,"Molluscs live, fresh or chilled",Grooved carpet shell
1970,10325.25,0,16,0,27,"Molluscs live, fresh or chilled",Pacific cupped oyster
1970,75000,0,8,0,27,"Molluscs live, fresh or chilled",Sea mussels nei
1970,0,0,4,0,27,"Molluscs live, fresh or chilled",Solen razor clams nei
1970,0,0,4,0,27,"Other aquatic invertebrates, live, fresh or chilled",Aquatic invertebrates nei
1970,0,0,4,0,27,"Other aquatic invertebrates, live, fresh or chilled",Stony sea urchin
1970,0,0,4,0,27,Other aquatic plants and animals,Babberlocks
1970,0,0,8,0,27,Other aquatic plants and animals,Sea belt
1970,0,0,4,0,27,Other aquatic plants and animals,Wakame
1970,0,0,9,0,77,"Crustaceans, live, fresh or chilled",Indo-Pacific swamp crab
1970,0,0,27,0,77,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1970,0,0,9,0,77,"Fish live, fresh or chilled for human consumption",Yellowfin tuna
1970,0,0,9,0,77,"Molluscs live, fresh or chilled","Clams, etc. nei"
1970,0,0,9,0,77,"Molluscs live, fresh or chilled",Elongate giant clam
1970,0,0,9,0,77,"Molluscs live, fresh or chilled",Gastropods nei
1970,0,0,9,0,77,"Molluscs live, fresh or chilled",Pacific asaphis
1970,0,0,9,0,77,"Molluscs live, fresh or chilled",Red abalone
1970,0,0,9,0,77,"Molluscs live, fresh or chilled",Rough turban
1970,0,0,9,0,77,Other aquatic plants and animals,""
1970,0,0,9,0,77,Other aquatic plants and animals,Coarse seagrape
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Atlantic cod
1971,,-1,,-1,27,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Atlantic wolffish
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Bastard halibut
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Chars nei
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",European eel
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",European flounder
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",European seabass
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Gilthead seabream
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Mullets nei
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Pollack
1971,,-1,,-1,27,"Fish live, fresh or chilled for human consumption",Rainbow trout
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Sea trout
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Senegalese sole
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Spotted wolffish
1971,,-1,,0,27,"Fish live, fresh or chilled for human consumption",Turbot
1971,,-1,,-1,27,"Molluscs live, fresh or chilled",Blue mussel
1971,,-1,,0,27,"Molluscs live, fresh or chilled","Clams, etc. nei"
1971,,-1,,-1,27,"Molluscs live, fresh or chilled",European flat oyster
1971,,-1,,0,27,"Molluscs live, fresh or chilled",Grooved carpet shell
1971,,-1,,-1,27,"Molluscs live, fresh or chilled",Pacific cupped oyster
1971,,-1,,-1,27,"Molluscs live, fresh or chilled",Sea mussels nei
1971,,-1,,0,27,"Molluscs live, fresh or chilled",Solen razor clams nei
1971,,-1,,0,27,"Other aquatic invertebrates, live, fresh or chilled",Aquatic invertebrates nei
1971,,-1,,0,27,"Other aquatic invertebrates, live, fresh or chilled",Stony sea urchin
1971,,-1,,0,27,Other aquatic plants and animals,Babberlocks
1971,,-1,,0,27,Other aquatic plants and animals,Sea belt
1971,,-1,,0,27,Other aquatic plants and animals,Wakame
1971,,-1,,0,77,"Crustaceans, live, fresh or chilled",Indo-Pacific swamp crab
1971,,-1,,0,77,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1971,,-1,,0,77,"Fish live, fresh or chilled for human consumption",Yellowfin tuna
1971,,-1,,0,77,"Molluscs live, fresh or chilled","Clams, etc. nei"
1971,,-1,,0,77,"Molluscs live, fresh or chilled",Elongate giant clam
1971,,-1,,0,77,"Molluscs live, fresh or chilled",Gastropods nei
1971,,-1,,0,77,"Molluscs live, fresh or chilled",Pacific asaphis
1971,,-1,,0,77,"Molluscs live, fresh or chilled",Red abalone
1971,,-1,,0,77,"Molluscs live, fresh or chilled",Rough turban
1971,,-1,,0,77,Other aquatic plants and animals,""
1971,,-1,,0,77,Other aquatic plants and animals,Coarse seagrape
1986,0,0,7194,0,21,"Crustaceans, live, fresh or chilled",Blue crab
1986,0,0,7194,0,21,"Fish live, fresh or chilled for human consumption",Atlantic cod
1986,457.3333333333333,0,21582,0,21,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1986,2300,0,7194,0,21,"Molluscs live, fresh or chilled",American cupped oyster
1986,2311,0,14388,0,21,"Molluscs live, fresh or chilled",Blue mussel
1986,0,0,7194,0,21,"Molluscs live, fresh or chilled",Butter clam
1986,0,0,14388,0,21,"Molluscs live, fresh or chilled",Marine molluscs nei
1986,5134,0,7194,0,21,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
1986,192,0,7194,0,21,"Molluscs live, fresh or chilled",Sand gaper
1986,0,0,14388,0,21,"Molluscs live, fresh or chilled",Scallops nei
1986,0,0,129263,0,31,"Crustaceans, live, fresh or chilled",Blue shrimp
1986,0,0,129263,0,31,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
1986,0,0,129263,0,31,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
1986,0,0,129263,0,31,"Crustaceans, live, fresh or chilled",Northern white shrimp
1986,0,0,129263,0,31,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
1986,125.5,0,258526,0,31,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
1986,0,0,129263,0,31,"Crustaceans, live, fresh or chilled",Southern white shrimp
1986,225,0,517052,0,31,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1986,0,0,258526,0,31,"Fish live, fresh or chilled for human consumption",Cobia
1986,0,0,129263,0,31,"Fish live, fresh or chilled for human consumption",Common snook
1986,0,0,129263,0,31,"Fish live, fresh or chilled for human consumption",Florida pompano
1986,1.5,0,258526,0,31,"Fish live, fresh or chilled for human consumption",Marine fishes nei
1986,0,0,129263,0,31,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
1986,0,0,129263,0,31,"Fish live, fresh or chilled for human consumption",Tilapias nei
1986,44634,0,258526,0,31,"Molluscs live, fresh or chilled",American cupped oyster
1986,0,0,258526,0,31,"Molluscs live, fresh or chilled","Clams, etc. nei"
1986,0,0,129263,0,31,"Molluscs live, fresh or chilled",Cupped oysters nei
1986,550.5,0,258526,0,31,"Molluscs live, fresh or chilled",Mangrove cupped oyster
1986,50,0,129263,0,31,"Molluscs live, fresh or chilled",South American rock mussel
1986,100,0,129263,0,31,Other aquatic plants and animals,Gracilaria seaweeds
1987,0,11.204823463997776,87801.5,0,21,"Crustaceans, live, fresh or chilled",Blue crab
1987,200,11.204823463997776,87801.5,0,21,"Fish live, fresh or chilled for human consumption",Atlantic cod
1987,959,11.204823463997776,263404.5,1.0969387755102042,21,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1987,2312,11.204823463997776,87801.5,0.0052173913043478265,21,"Molluscs live, fresh or chilled",American cupped oyster
1987,2201.5,11.204823463997776,175603,-0.04738208567719602,21,"Molluscs live, fresh or chilled",Blue mussel
1987,0,11.204823463997776,87801.5,0,21,"Molluscs live, fresh or chilled",Butter clam
1987,0,11.204823463997776,175603,0,21,"Molluscs live, fresh or chilled",Marine molluscs nei
1987,4500,11.204823463997776,87801.5,-0.123490455784963,21,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
1987,87,11.204823463997776,87801.5,-0.546875,21,"Molluscs live, fresh or chilled",Sand gaper
1987,0,11.204823463997776,175603,0,21,"Molluscs live, fresh or chilled",Scallops nei
1987,0,2.59681424692294,464935,0,31,"Crustaceans, live, fresh or chilled",Blue shrimp
1987,0,2.59681424692294,464935,0,31,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
1987,0,2.59681424692294,464935,0,31,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
1987,0,2.59681424692294,464935,0,31,"Crustaceans, live, fresh or chilled",Northern white shrimp
1987,0,2.59681424692294,464935,0,31,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
1987,118,2.59681424692294,929870,-0.05976095617529881,31,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
1987,346,2.59681424692294,464935,0,31,"Crustaceans, live, fresh or chilled",Southern white shrimp
1987,439.25,2.59681424692294,1859740,0.9522222222222222,31,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1987,0,2.59681424692294,929870,0,31,"Fish live, fresh or chilled for human consumption",Cobia
1987,0,2.59681424692294,464935,0,31,"Fish live, fresh or chilled for human consumption",Common snook
1987,0,2.59681424692294,464935,0,31,"Fish live, fresh or chilled for human consumption",Florida pompano
1987,3,4.3952213703844105,1394805,1,31,"Fish live, fresh or chilled for human consumption",Marine fishes nei
1987,0,2.59681424692294,464935,0,31,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
1987,1,0,464935,0,31,"Fish live, fresh or chilled for human consumption",Red drum
1987,0,2.59681424692294,464935,0,31,"Fish live, fresh or chilled for human consumption",Tilapias nei
1987,40446.5,2.59681424692294,929870,-0.0938186136129408,31,"Molluscs live, fresh or chilled",American cupped oyster
1987,0,2.59681424692294,929870,0,31,"Molluscs live, fresh or chilled","Clams, etc. nei"
1987,0,2.59681424692294,464935,0,31,"Molluscs live, fresh or chilled",Cupped oysters nei
1987,650.5,2.59681424692294,929870,0.18165304268846502,31,"Molluscs live, fresh or chilled",Mangrove cupped oyster
1987,360,0,464935,0,31,"Molluscs live, fresh or chilled",Queen conch
1987,,-1,,-1,31,"Molluscs live, fresh or chilled",South American rock mussel
1987,21,0,464935,0,31,"Molluscs live, fresh or chilled",Stromboid conchs nei
1987,100,2.59681424692294,464935,0,31,Other aquatic plants and animals,Gracilaria seaweeds
1988,,-1,,0,21,"Crustaceans, live, fresh or chilled",Blue crab
1988,,-1,,-1,21,"Fish live, fresh or chilled for human consumption",Atlantic cod
1988,,-1,,-1,21,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1988,,-1,,-1,21,"Molluscs live, fresh or chilled",American cupped oyster
1988,,-1,,-1,21,"Molluscs live, fresh or chilled",Blue mussel
1988,,-1,,0,21,"Molluscs live, fresh or chilled",Butter clam
1988,,-1,,0,21,"Molluscs live, fresh or chilled",Marine molluscs nei
1988,,-1,,-1,21,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
1988,,-1,,-1,21,"Molluscs live, fresh or chilled",Sand gaper
1988,,-1,,0,21,"Molluscs live, fresh or chilled",Scallops nei
1988,,-1,,0,31,"Crustaceans, live, fresh or chilled",Blue shrimp
1988,,-1,,0,31,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
1988,,-1,,0,31,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
1988,,-1,,0,31,"Crustaceans, live, fresh or chilled",Northern white shrimp
1988,,-1,,0,31,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
1988,,-1,,-1,31,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
1988,,-1,,-1,31,"Crustaceans, live, fresh or chilled",Southern white shrimp
1988,,-1,,-1,31,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1988,,-1,,0,31,"Fish live, fresh or chilled for human consumption",Cobia
1988,,-1,,0,31,"Fish live, fresh or chilled for human consumption",Common snook
1988,,-1,,0,31,"Fish live, fresh or chilled for human consumption",Florida pompano
1988,,-1,,-1,31,"Fish live, fresh or chilled for human consumption",Marine fishes nei
1988,,-1,,0,31,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
1988,,-1,,-1,31,"Fish live, fresh or chilled for human consumption",Red drum
1988,,-1,,0,31,"Fish live, fresh or chilled for human consumption",Tilapias nei
1988,,-1,,-1,31,"Molluscs live, fresh or chilled",American cupped oyster
1988,,-1,,0,31,"Molluscs live, fresh or chilled","Clams, etc. nei"
1988,,-1,,0,31,"Molluscs live, fresh or chilled",Cupped oysters nei
1988,,-1,,-1,31,"Molluscs live, fresh or chilled",Mangrove cupped oyster
1988,,-1,,-1,31,"Molluscs live, fresh or chilled",Queen conch
1988,,-1,,-1,31,"Molluscs live, fresh or chilled",Stromboid conchs nei
1988,,-1,,-1,31,Other aquatic plants and animals,Gracilaria seaweeds
1989,0,0,352180.17,0,21,"Crustaceans, live, fresh or chilled",Blue crab
1989,0,0,352180.17,0,21,"Fish live, fresh or chilled for human consumption",Atlantic bluefin tuna
1989,59,0,352180.17,0,21,"Fish live, fresh or chilled for human consumption",Atlantic cod
1989,3976,0,1056540.51,0,21,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1989,2768,0,352180.17,0,21,"Molluscs live, fresh or chilled",American cupped oyster
1989,2394,0,704360.34,0,21,"Molluscs live, fresh or chilled",Blue mussel
1989,0,0,352180.17,0,21,"Molluscs live, fresh or chilled",Butter clam
1989,0,0,704360.34,0,21,"Molluscs live, fresh or chilled",Marine molluscs nei
1989,4161,0,352180.17,0,21,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
1989,1,0,352180.17,0,21,"Molluscs live, fresh or chilled",Sand gaper
1989,119,0,704360.34,0,21,"Molluscs live, fresh or chilled",Scallops nei
1989,0,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Blue shrimp
1989,1,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Brine shrimp
1989,0,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
1989,0,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
1989,0,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Northern white shrimp
1989,0,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
1989,78,0,788865,0,31,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
1989,752,0,394432.5,0,31,"Crustaceans, live, fresh or chilled",Southern white shrimp
1989,747.5,0,2366595,0,31,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1989,0,0,788865,0,31,"Fish live, fresh or chilled for human consumption",Cobia
1989,0,0,394432.5,0,31,"Fish live, fresh or chilled for human consumption",Common snook
1989,0,0,394432.5,0,31,"Fish live, fresh or chilled for human consumption",Florida pompano
1989,0.5,0,788865,0,31,"Fish live, fresh or chilled for human consumption",Marine fishes nei
1989,0,0,394432.5,0,31,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
1989,3,0,788865,0,31,"Fish live, fresh or chilled for human consumption",Red drum
1989,0,0,394432.5,0,31,"Fish live, fresh or chilled for human consumption",Tilapias nei
1989,38403.5,0,788865,0,31,"Molluscs live, fresh or chilled",American cupped oyster
1989,0,0,788865,0,31,"Molluscs live, fresh or chilled","Clams, etc. nei"
1989,0,0,394432.5,0,31,"Molluscs live, fresh or chilled",Cupped oysters nei
1989,2,0,394432.5,0,31,"Molluscs live, fresh or chilled",Mangrove cupped oyster
1989,10,0,394432.5,0,31,"Molluscs live, fresh or chilled",Queen conch
1989,10,0,394432.5,0,31,"Molluscs live, fresh or chilled",South American rock mussel
1989,10,0,394432.5,0,31,"Molluscs live, fresh or chilled",Stromboid conchs nei
1989,40,0,394432.5,0,31,Other aquatic plants and animals,Gracilaria seaweeds
1990,0,-0.9444971589399823,19547,0,21,"Crustaceans, live, fresh or chilled",Blue crab
1990,0,-0.9444971589399823,19547,0,21,"Fish live, fresh or chilled for human consumption",Atlantic bluefin tuna
1990,90,-0.9444971589399823,19547,0.5254237288135594,21,"Fish live, fresh or chilled for human consumption",Atlantic cod
1990,6285,-0.9444971589399823,58641,0.5807344064386318,21,"Fish live, fresh or chilled for human consumption",Atlantic salmon
1990,2698,-0.9444971589399823,19547,-0.025289017341040464,21,"Molluscs live, fresh or chilled",American cupped oyster
1990,2488,-0.9444971589399823,39094,0.03926482873851295,21,"Molluscs live, fresh or chilled",Blue mussel
1990,0,-0.9444971589399823,19547,0,21,"Molluscs live, fresh or chilled",Butter clam
1990,0,-0.9444971589399823,39094,0,21,"Molluscs live, fresh or chilled",Marine molluscs nei
1990,6691,-0.9444971589399823,19547,0.6080269166065849,21,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
1990,1,-0.9444971589399823,19547,0,21,"Molluscs live, fresh or chilled",Sand gaper
1990,109,-0.9444971589399823,39094,-0.08403361344537816,21,"Molluscs live, fresh or chilled",Scallops nei
1990,0,0.4095656417764763,555978.5,0,31,"Crustaceans, live, fresh or chilled",Blue shrimp
1990,0,0.4095656417764763,555978.5,-1,31,"Crustaceans, live, fresh or chilled",Brine shrimp
1990,0,0.4095656417764763,555978.5,0,31,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
1990,0,0.4095656417764763,555978.5,0,31,"Crustaceans, live, fresh or chilled",Caribbean spiny lobster
1990,0,0.4095656417764763,555978.5,0,31,"Crustaceans, live, fresh or chilled",Northern white shrimp
1990,0,0.4095656417764763,555978.5,0,31,"Crustaceans, live, fresh or chilled",Palinurid spiny lobsters nei
1990,55,0.4095656417764763,1111957,-0.2948717948717949,31,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
1990,1206,0.4095656417764763,555978.5,0.6037234042553191,31,"Crustaceans, live, fresh or chilled",Southern white shrimp
1990,1253.5,0.4095656417764763,3335871,0.676923076923077,31,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
1990,0,0.4095656417764763,1111957,0,31,"Fish live, fresh or chilled for human consumption",Cobia
1990,0,0.4095656417764763,555978.5,0,31,"Fish live, fresh or chilled for human consumption",Common snook
